Size,ExecutionTime,Comparisons,sizeofS
7229481,830928542,154585313,63
7263854,713386667,154800704,63
7900629,742968666,162173829,63
2819503,533596917,112540138,63
8902749,796168958,171914811,63
5258603,650760042,137579653,63
9334143,814759375,175761611,63
8873340,788181458,171734180,63
3560386,554684167,118154240,63
1350891,472228041,99415404,63
1573003,478839042,101000023,63
5914977,671132750,142593858,63
6208302,683697875,144976810,63
7292696,727594000,155068001,63
5803198,686476458,141851723,63
4440681,592262875,126429056,63
9496086,809828333,177621886,63
9230846,797889625,174917246,63
5893493,677329291,142412076,63
6397960,694262792,147358621,63
8297292,784936500,165778206,63
6850814,710474333,150915150,63
4942388,605992333,130735718,63
4618018,594571375,127818067,63
5728892,659007375,141289808,63
3618515,567902375,118658761,63
2185927,507801875,105505904,63
5946950,675221083,143076996,63
9576737,827876917,178389242,63
2396234,509246417,107262463,63
943863,458343750,95825401,63
6558094,686532875,148490478,63
3747466,569649833,119640123,63
3505295,564546459,117753732,63
5293205,653344958,137780839,63
5284758,653929209,137736866,63
3123441,549231208,114505134,63
2747713,556811750,111853693,63
158139,441732500,90602769,63
4510536,589939708,126928894,63
4211606,582199250,124125736,63
243411,439246167,90949182,63
778014,460342125,94498100,63
8289998,771694875,165746488,63
1180666,474822375,97302495,63
9303054,812686166,175510763,63
5933129,660052625,142713598,63
6703512,689009750,149738650,63
986791,455502208,96015281,63
993049,461856458,96029860,63
9295677,809934500,175433334,63
8462653,778880958,167273363,63
7904893,764740750,162188874,63
2275711,504287459,106363893,63
8679615,770181208,169142293,63
1647487,482589583,101418528,63
9890987,843549042,181492333,63
9832714,835105291,180864266,63
2075330,503985042,104778291,63
6545534,761494125,148431197,63
9962925,837848125,182225438,63
8962653,786681458,172454179,63
2353669,503020625,107008090,63
7079652,719065125,153161906,63
6627484,712838084,149162102,63
4033283,587159583,122673725,63
5258756,661522750,137565679,63
7140375,709280750,153668427,63
7801583,742485000,161290628,63
8489432,768777458,167464722,63
5102804,649424834,136671309,63
7766959,753871708,161043029,63
162485,443534875,90600898,63
6673624,703840583,149480977,63
9911022,828851291,181629341,63
3274875,544485083,115919159,63
4277927,583379209,124687787,63
5678507,667738667,141005880,63
7769476,752419709,161055749,63
1505981,485539708,100347243,63
2545620,534206042,110717956,63
7722604,746442667,160726827,63
5197290,637507625,137236355,63
1477912,502380750,100144798,63
5404238,643126375,138672596,63
5729446,668143792,141299611,63
8911612,801659250,172120422,63
3189713,555558541,115400275,63
3602730,566663375,118537368,63
8115783,756364875,163875046,63
1782843,492243916,102278690,63
4583786,593117041,127493924,63
9394293,818450042,176882523,63
4746419,613607000,129030548,63
5489549,659270958,139291986,63
1091262,473746417,96628196,63
7592447,746704625,159895033,63
8956691,784205791,172398947,63
8326348,759078708,165975914,63
6422612,691152459,147618866,63
6091861,687694042,144022864,63
1720020,493632125,101946327,63
3250587,560745709,115779833,63
6958192,724685250,152244471,63
6434114,696421750,147661229,63
4367788,584507333,125417873,63
8127750,754745125,164597861,63
3349734,557517250,116453647,63
2115566,506409541,105052622,63
8794436,796156708,171189541,63
1582495,487523375,101032951,63
7502788,736454792,159403543,63
9683869,812896709,179336718,63
5725951,655794875,141287924,63
1388484,484535417,99603844,63
5971731,675957417,143200117,63
2802943,543362125,112169169,63
1754994,503599541,102105326,63
5153414,651677250,136903167,63
8856977,788376667,171600556,63
440365,441123083,92121314,63
2366551,503391250,107080475,63
914386,457894583,95355673,63
3164926,555421041,115309108,63
2623591,545946750,111121876,63
9700972,833964625,179754312,63
2985902,559909000,113585539,63
2449359,515774916,107690555,63
7126896,708731916,153554695,63
5282834,639807666,137715950,63
3355035,550984875,116493832,63
7712310,766508291,160689180,63
8042018,761635708,163278912,63
7893656,763098708,162167265,63
2179810,504816750,105455794,63
2514529,520209875,110618348,63
4063091,576445458,123195469,63
6442996,743461958,147743607,63
833289,489845875,94865901,63
9262621,811444584,175177934,63
483578,449369500,92431132,63
4577202,608704583,127493817,63
181061,439880291,90652042,63
8146631,756493917,164662573,63
5514491,647191292,139384010,63
6300139,679246708,146772689,63
8031421,759993458,163169337,63
9780007,832359708,180408555,63
2063033,507607083,104686638,63
4842435,613257000,129799383,63
9976468,822847167,182337273,63
2559864,521603042,110764190,63
6038647,667025666,143679454,63
3532771,562881833,117950244,63
1965153,501885416,103990173,63
9270228,812695959,175219609,63
275248,442381958,91102840,63
51973,437995459,90041453,63
9645074,813457250,178978024,63
9028107,799378375,172947138,63
7734216,745504792,160812946,63
5347567,656947292,138326392,63
5294201,650567458,137806227,63
6514748,700046791,148198557,63
8497928,777621834,167516170,63
7452904,778591000,156480984,63
8551512,765724000,167957212,63
1298239,489658458,99150104,63
5868238,670904000,142317033,63
3846704,593587791,121369235,63
4339626,598533667,125197447,63
9742425,824544084,179995613,63
3060772,537940792,114090747,63
8427143,763625417,166744873,63
2219161,506332125,105967320,63
8180147,775686292,164848474,63
2378477,520457291,107142427,63
4578108,608122375,127475188,63
5489604,658940875,139298410,63
8967152,789244292,172484076,63
5023701,633089750,136294306,63
1825504,488232208,102586220,63
7092402,717695709,153248848,63
3322377,558575292,116328564,63
7770018,754716500,161058179,63
3874993,585991708,121567191,63
9807270,823641417,180633273,63
2849905,531484417,112676201,63
8238401,755837125,165197453,63
9962296,836302208,182228247,63
600543,452674500,93078764,63
1888825,502425458,103599471,63
4395338,607558709,126164464,63
7551424,743578708,159655568,63
2740993,526606709,111839535,63
4960789,603882500,130874244,63
7503210,731812541,159415646,63
4119682,586812750,123486980,63
5706861,665721125,141189491,63
5580054,662140584,139843249,63
6875959,710008041,151728855,63
1608820,482541125,101152995,63
5667359,653820833,140966092,63
5099052,636944000,136640584,63
5382160,645956208,138497685,63
2048718,504099875,104570014,63
8088481,760876208,163662648,63
4633158,611387750,127921452,63
8135982,763582000,164582119,63
1590401,478637875,101051725,63
5891530,659792291,142435432,63
6919826,700365667,151980633,63
7658782,754598791,160410129,63
3506747,563798250,117765855,63
8928751,801585125,172214417,63
9400704,822247792,176878220,63
8092382,749250125,163722889,63
4945990,606262958,130747050,63
6750735,696887041,150161174,63
7821978,755182625,161720145,63
8647621,785156250,168839199,63
7629750,750717000,160082834,63
5510740,651365833,139374492,63
4349653,612745417,125248987,63
6410129,680561167,147587407,63
7635216,744295167,160101416,63
8097753,765965625,163735980,63
5680900,670545958,140977111,63
9895421,837164667,181507663,63
3128391,542839833,115120825,63
9479232,806912125,177521581,63
6488392,683342333,148069391,63
7875126,757353083,162032672,63
7119800,720794083,153477875,63
5873694,675545375,142323703,63
1650317,489973833,101406985,63
2012368,496571334,104268790,63
5392588,644184875,138642446,63
596790,443789666,93065573,63
2983755,534577875,113571527,63
2918427,541031750,113085527,63
8090958,765575125,163664942,63
6306349,693836625,146787998,63
4158594,592128125,123749032,63
5981663,671667500,143292019,63
8447865,768983375,167181050,63
7066424,707648708,153046063,63
2874734,539438292,112821800,63
5054389,653935708,136425515,63
9865495,860100583,181284790,63
8934531,802904375,172230310,63
235004,436316291,90936324,63
5949006,668012917,143081730,63
834551,457079083,94879631,63
7761594,745817208,161014300,63
9225904,814222000,174885729,63
8656921,791460666,168880023,63
6674328,714393125,149484012,63
7772690,741508250,161094126,63
5348772,640960000,138329559,63
6316270,680428166,146848093,63
5245109,650101959,137513637,63
4928374,617181042,130618222,63
8175500,770649708,164805252,63
4784669,613099959,129337634,63
3507669,558844958,117753285,63
3306064,549637583,116223366,63
4543204,592942542,127251392,63
6905793,703274750,151879443,63
534686,450059541,92686180,63
8076651,762482833,163583069,63
6188134,684097834,144839205,63
5083805,644417541,136587027,63
2988210,537082125,113574275,63
7008501,702666375,152551443,63
9845639,820943750,181106427,63
14448,436465583,89938556,63
9665551,825083375,179166881,63
7785301,753826083,161173029,63
8860684,794054833,171633734,63
5452386,645453750,138900795,63
7071240,708615250,153126398,63
1475944,473862333,100129654,63
9910438,836311583,181632874,63
4008502,583329708,122497335,63
6440371,699567292,147697859,63
1454432,486828792,100018078,63
9448102,810114000,177213168,63
7592197,738023042,159882003,63
2987310,533996958,113593706,63
1097648,464718625,96790762,63
7736840,754025709,160875191,63
1958903,504207500,103977969,63
1354832,484187583,99431738,63
488931,448748334,92462294,63
2827983,542997958,112585624,63
9062096,793959042,173224881,63
2027053,493808667,104358810,63
7384693,720305583,155909253,63
8064577,764471334,163487872,63
8038978,763559042,163253384,63
2002314,504445250,104199137,63
9815822,827565417,180699745,63
9161866,791654084,174265617,63
6631530,686961292,149191473,63
4751806,606701458,129074539,63
1472162,485215333,100101813,63
236242,440647000,90935467,63
5417630,657243917,138721846,63
280677,441992875,91114731,63
1219351,471672583,97549818,63
2047260,494097834,104584841,63
1196947,462128042,97409528,63
5983240,661391708,143260734,63
6830626,700965125,150742468,63
9747026,830805959,180067478,63
9992019,844341292,182502014,63
1991797,502213125,104131220,63
9665283,816802000,179156470,63
9011941,785845250,172823721,63
6082316,665912792,143948064,63
969230,466834125,95897527,63
6742804,707914000,150108372,63
884860,461432292,95180330,63
5789125,673122042,141788454,63
949075,467017042,95841783,63
4108037,579536875,123418293,63
908930,453259250,95335634,63
3255191,542381458,115808923,63
8336784,787605792,166002512,63
7682414,750085333,160503624,63
5251274,649791958,137536410,63
7270935,727450916,154891992,63
4886372,609622459,130246668,63
6396792,681558041,147394721,63
2975659,534924959,113543795,63
9319098,804121000,175657436,63
4155750,588831792,123741164,63
4125418,586270958,123523030,63
475891,451116167,92407713,63
7749073,754805709,160939652,63
6078186,674783666,143918292,63
4207818,581844292,124098219,63
4237234,580157709,124384270,63
7918300,751970041,162295200,63
7065089,716302125,153022501,63
6343956,692875167,147060082,63
9843193,832160792,180937798,63
3159424,543384208,115252178,63
251542,433874500,90981308,63
5792824,656834583,141812752,63
1083598,459887542,96572085,63
7316217,726514875,155211860,63
4807837,612279291,129488888,63
7322036,728311583,155295506,63
5775512,670331750,141560176,63
7950155,744922291,162520406,63
9191804,792523250,174513163,63
8114635,768849917,163851174,63
749078,459268125,94359217,63
1788131,493593167,102313980,63
4663123,607641083,128143690,63
766856,458377000,94447929,63
8185587,763170667,164893338,63
4423816,588274500,126331551,63
8538151,764540333,167851912,63
4856729,608342625,130021762,63
3709970,571386708,119337207,63
9185876,805491500,174445940,63
2907602,544572542,113042776,63
6358272,690459625,147111353,63
551731,442499417,92819678,63
1816649,486694209,102546430,63
1424439,474164041,99870612,63
1731833,483212042,102008305,63
1860128,494440250,102815993,63
1611152,489356459,101170778,63
5703360,664852750,141164505,63
7995704,762800500,162922886,63
3865234,576191167,121504404,63
810345,451089709,94757760,63
2747397,527558292,111871136,63
9623933,817524250,178753643,63
6092189,676278750,144031905,63
4962728,618316542,130922420,63
